Barkod;Model Kodu;stockID;Name;Price;Stok
86851254805483;86851254805483;86851254805483;Hurma Suyu Konsantresi 1300gr (PEST_S_T ANAL_ZL_);422.4;3948
86821254804976;86821254804976;86821254804976;Hurma Suyu Konsantresi (TATLANDIRICI) Hurma Balı 685gr;300.0;4756
86821254804595;86821254804595;86821254804595;Organik Bey Multi Mix 350gr (PEST_S_T VE A_IR METAL ANAL_ZL_);459.9;13151
18682125487663;ADBEY87663;18682125487663;Organik Bebek Pirinç Unu 250gr;243.9;4292
678952;678952;678952;Karadut Özü 260gr (PEST_S_T VE A_IR METAL ANAL_ZL_);199.0;8495
8682125480947;8682125480947;8682125480947;Organik Bebek Pirinç Unu Rezeneli 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);242.0;3887
8682125489940;8682125489940;8682125489940;Organik Köri 150 gr;182.48;4272
3932-M;3932-M;3932-M;Organik Mor Mix & Bey Tonik 2'li (PEST_S_T VE A_IR METAL ANAL_ZL_);960.9;9108
8682125486696;8682125486696;8682125486696;Organik A_urelik Bu_day 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);223.9;2893
8682125484969;8682125484969;8682125484969;Tam Ya_lı Olgunla_tırılmı_ Beyaz Peynir 470gr;547.8;5920
8682125487166;8682125487166;8682125487166;Organik Kekik 110gr;187.99;6093
86882125481432;86882125481432;86882125481432;Organik Erik Reçeli 300gr;199.0;196
8682125481425;8682125481425;8682125481425;Organik Miks Anne 260gr (PEST_S_T VE A_IR METAL ANAL_ZL_);520.0;4138
8682125481432;8682125481432;8682125481432;Organik Bey Night Mix 260gr (PEST_S_T VE A_IR METAL ANAL_ZL_);619.9;4397
8682125481371;8682125481371;8682125481371;Organik Granola 350gr (MOR ÖZLERLE HARMANLANMI_) (PEST_S_T VE AFLATOKS_N ANAL_ZL_);223.53;8962
8682125481326;8682125481326;8682125481326;Organik Mom's Mix 315gr (PEST_S_T VE A_IR METAL ANAL_ZL_);520.9;7621
sebzebaharçorbası-3;sebzebaharçorbası-3;sebzebaharçorbası-3;Organik Sebzeli Bahar Çorbası 80gr (10 DK HAZIR) 3adet (PEST_S_T VE AFLATOKS_N ANAL_ZL_);369.9;8798
8682125480862;8682125480862;8682125480862;Organik Sebzeli Bahar Çorbası 80gr (10 Dk Hazır );294.9;2187
8682125485287;8682125485287;8682125485287;Organik Sebzeli Makarna Seti 2'li 240gr (ORGAN_K SEBZEL_ BORU MAKARNA / SEBZEL_ BURGU MAKARNA);469.9;297
8682125485300;8682125485300;8682125485300;Organik 5'li Ek Gıda Paketi;919.9;4834
8682125485171;8682125485171;8682125485171;Organik 3'lü Süper Güçlü Seti (PEST_S_T VE A_IR METAL ANAL_ZL_);1350.0;2752
8682125483184;8682125483184;8682125483184;Organik Artizan Çikolata Sütlü (3 ADET) 40gr;620.9;1893
8682125483177;8682125483177;8682125483177;Organik Artizan Çikolata Sütlü Fındıklı (3ADET) 40gr;620.0;1967
8682125483160;8682125483160;8682125483160;Organik Artizan Çikolata %70 Bitter (3ADET) 40gr;619.9;1825
8682125483153;8682125483153;8682125483153;Organik Artizan Çikolata Seti 3*lü (SÜTLÜ FINDIKLI, SÜTLÜ, %70 B_TTER) 40gr;620.9;1974
8682125485188;8682125485188;8682125485188;Organik Bey Tonik / Bey Mor Mix / Bey Öz Mix Grubu 3'lü (PEST_S_T VE A_IR METAL ANAL_ZL_);1253.9;13729
nohut-22;nohut-22;nohut-22;Organik Nohut 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);670.2;5517
sıyez-bulgur-2;sıyez-bulgur-2;sıyez-bulgur-2;ORGAN_K Siyez Pilavlık Bulgur 2,5kg (PEST_S_T ve AFLATOKS_N ANAL_ZL_);591.0;3229
kurufasulye-2-2;kurufasulye-2-2;kurufasulye-2-2;Organik Kuru Fasulye 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);630.96;2322
uclu2-mercımek;uclu2-mercımek;uclu2-mercımek;Organik Üçlü Tahıl Karı_ımı 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);764.13;9480
bebek-3-corba;bebek-3-corba;bebek-3-corba;Organik Sebze Çorbaları Paketi 3'lü (PEST_S_T VE AFLATOKS_N ANAL_ZL_);549.9;15405
alıç-elma-2;alıç-elma-2;200;Organik Alıç Ve Elma Sirke Seti 2'li 500ml (PEST_S_T ANAL_ZL_);512.9;9102
brokolı-3-havuc;brokolı-3-havuc;brokolı-3-havuc;Organik Brokolili Havuç Çorbası 3'lü 50gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);249.0;7385
86821254814637;86821254814637;86821254814637;Organik Sebzeli Arpa _ehriye 100gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);149.0;15040
ruseymlıbezelye-3;ruseymlıbezelye-3;ruseymlıbezelye-3;Organik Ru_eymli Bezelye Çorbası 3'lü 50gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);398.9;7435
8682125482101;8682125482101;8682125482101;Organik Brokolili Havuç Çorbası 50gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);220.0;4388
8682125482095;8682125482095;8682125482095;Organik Ru_eymli Bezelye Çorbası 50gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);285.9;3773
4-alerjen;4-alerjen;4-alerjen;Organik Alerjen Ek Gıdalar Seti 4'lü;950.0;5007
ekgıda-1-2;ekgıda-1-2;ekgıda-1-2;Organik Bebek Ek Gıdası 3 Tahıllı Yulaf Pirinç Irmik 250gr;320.0;5000
